         # x	           y	           z	          vx	          vy	          vz
  -1.9907613	 -13.0926027	  -0.0028974	  -0.0011766	   0.0030425	  -0.0000048
  -2.0166968	 -13.0244983	  -0.0030038	  -0.0011575	   0.0030867	  -0.0000048
  -2.0166968	 -13.0244983	  -0.0030038	  -0.0011526	   0.0030841	  -0.0000046
  -2.0420943	 -12.9554814	  -0.0031045	  -0.0011332	   0.0031273	  -0.0000045
  -2.0670562	 -12.8855110	  -0.0032041	  -0.0011133	   0.0031699	  -0.0000045
  -2.0915736	 -12.8146039	  -0.0033026	  -0.0010931	   0.0032116	  -0.0000044
  -2.1156375	 -12.7427771	  -0.0033999	  -0.0010725	   0.0032526	  -0.0000044
  -2.1392395	 -12.6700478	  -0.0034959	  -0.0010516	   0.0032929	  -0.0000043
  -2.1623710	 -12.5964337	  -0.0035908	  -0.0010302	   0.0033323	  -0.0000042
  -2.1850238	 -12.5219528	  -0.0036843	  -0.0010085	   0.0033709	  -0.0000042
  -2.2071897	 -12.4466234	  -0.0037765	  -0.0009864	   0.0034086	  -0.0000041
  -2.2288609	 -12.3704640	  -0.0038673	  -0.0009640	   0.0034456	  -0.0000041
  -2.2288609	 -12.3704640	  -0.0038673	  -0.0009576	   0.0034430	  -0.0000038
  -2.2498901	 -12.2935538	  -0.0039500	  -0.0009349	   0.0034788	  -0.0000037
  -2.2704115	 -12.2158569	  -0.0040312	  -0.0009119	   0.0035138	  -0.0000036
  -2.2904175	 -12.1373927	  -0.0041110	  -0.0008886	   0.0035479	  -0.0000036
  -2.3099011	 -12.0581808	  -0.0041894	  -0.0008649	   0.0035811	  -0.0000035
  -2.3288553	 -11.9782413	  -0.0042662	  -0.0008409	   0.0036134	  -0.0000034
  -2.3472732	 -11.8975942	  -0.0043415	  -0.0008166	   0.0036447	  -0.0000034
  -2.3651483	 -11.8162600	  -0.0044153	  -0.0007921	   0.0036752	  -0.0000033
  -2.3824742	 -11.7342594	  -0.0044874	  -0.0007672	   0.0037047	  -0.0000032
  -2.3992446	 -11.6516132	  -0.0045580	  -0.0007421	   0.0037333	  -0.0000031
  -2.3992446	 -11.6516132	  -0.0045580	  -0.0007356	   0.0037300	  -0.0000029
  -2.4153109	 -11.5684179	  -0.0046207	  -0.0007103	   0.0037574	  -0.0000028
  -2.4308127	 -11.4846250	  -0.0046818	  -0.0006848	   0.0037838	  -0.0000027
  -2.4457445	 -11.4002558	  -0.0047412	  -0.0006590	   0.0038093	  -0.0000026
  -2.4601010	 -11.3153322	  -0.0047989	  -0.0006330	   0.0038337	  -0.0000026
  -2.4738769	 -11.2298760	  -0.0048549	  -0.0006068	   0.0038572	  -0.0000025
  -2.4870673	 -11.1439092	  -0.0049092	  -0.0005803	   0.0038797	  -0.0000024
  -2.4996676	 -11.0574541	  -0.0049617	  -0.0005537	   0.0039011	  -0.0000023
  -2.5116731	 -10.9705332	  -0.0050124	  -0.0005268	   0.0039216	  -0.0000022
  -2.5230796	 -10.8831691	  -0.0050613	  -0.0004998	   0.0039410	  -0.0000022
  -2.5230796	 -10.8831691	  -0.0050613	  -0.0004952	   0.0039363	  -0.0000020
  -2.5337836	 -10.7954913	  -0.0051048	  -0.0004681	   0.0039545	  -0.0000019
  -2.5438846	 -10.7074197	  -0.0051464	  -0.0004409	   0.0039717	  -0.0000018
  -2.5533791	 -10.6189771	  -0.0051862	  -0.0004135	   0.0039879	  -0.0000017
  -2.5622635	 -10.5301865	  -0.0052241	  -0.0003860	   0.0040031	  -0.0000017
  -2.5705348	 -10.4410711	  -0.0052601	  -0.0003584	   0.0040172	  -0.0000016
  -2.5781900	 -10.3516542	  -0.0052943	  -0.0003306	   0.0040302	  -0.0000015
  -2.5852263	 -10.2619591	  -0.0053266	  -0.0003027	   0.0040422	  -0.0000014
  -2.5916412	 -10.1720094	  -0.0053569	  -0.0002747	   0.0040531	  -0.0000013
  -2.5974324	 -10.0818286	  -0.0053854	  -0.0002465	   0.0040630	  -0.0000012
  -2.5974324	 -10.0818286	  -0.0053854	  -0.0002442	   0.0040571	  -0.0000012
  -2.6025491	  -9.9915712	  -0.0054105	  -0.0002163	   0.0040659	  -0.0000011
  -2.6070432	  -9.9011318	  -0.0054337	  -0.0001882	   0.0040735	  -0.0000010
  -2.6109130	  -9.8105340	  -0.0054550	  -0.0001601	   0.0040801	  -0.0000009
  -2.6141571	  -9.7198016	  -0.0054743	  -0.0001319	   0.0040856	  -0.0000008
  -2.6167744	  -9.6289582	  -0.0054917	  -0.0001037	   0.0040901	  -0.0000007
  -2.6187639	  -9.5380276	  -0.0055071	  -0.0000754	   0.0040935	  -0.0000006
  -2.6201248	  -9.4470336	  -0.0055205	  -0.0000471	   0.0040958	  -0.0000006
  -2.6208568	  -9.3559999	  -0.0055319	  -0.0000188	   0.0040970	  -0.0000005
  -2.6209596	  -9.2649504	  -0.0055414	   0.0000095	   0.0040972	  -0.0000004
  -2.6209596	  -9.2649504	  -0.0055414	   0.0000131	   0.0040913	  -0.0000003
  -2.6203555	  -9.1740420	  -0.0055481	   0.0000412	   0.0040903	  -0.0000003
  -2.6191272	  -9.0831683	  -0.0055529	   0.0000693	   0.0040882	  -0.0000002
  -2.6172754	  -8.9923530	  -0.0055557	   0.0000974	   0.0040850	  -0.0000001
  -2.6148005	  -8.9016195	  -0.0055565	   0.0001254	   0.0040808	   0.0000000
  -2.6117036	  -8.8109915	  -0.0055553	   0.0001533	   0.0040755	   0.0000001
  -2.6079857	  -8.7204926	  -0.0055521	   0.0001813	   0.0040692	   0.0000002
  -2.6036481	  -8.6301462	  -0.0055469	   0.0002091	   0.0040618	   0.0000003
  -2.5986924	  -8.5399757	  -0.0055397	   0.0002369	   0.0040534	   0.0000004
  -2.5931204	  -8.4500045	  -0.0055306	   0.0002646	   0.0040439	   0.0000005
  -2.5931204	  -8.4500045	  -0.0055306	   0.0002694	   0.0040364	   0.0000004
  -2.5868309	  -8.3604228	  -0.0055202	   0.0002967	   0.0040257	   0.0000005
  -2.5799355	  -8.2710908	  -0.0055078	   0.0003239	   0.0040140	   0.0000006
  -2.5724368	  -8.1820312	  -0.0054935	   0.0003510	   0.0040012	   0.0000007
  -2.5643374	  -8.0932670	  -0.0054772	   0.0003779	   0.0039874	   0.0000008
  -2.5556402	  -8.0048208	  -0.0054589	   0.0004048	   0.0039726	   0.0000009
  -2.5463484	  -7.9167151	  -0.0054387	   0.0004315	   0.0039568	   0.0000010
  -2.5364653	  -7.8289725	  -0.0054165	   0.0004580	   0.0039399	   0.0000010
  -2.5259944	  -7.7416152	  -0.0053924	   0.0004844	   0.0039221	   0.0000011
  -2.5149394	  -7.6546654	  -0.0053664	   0.0005106	   0.0039032	   0.0000012
  -2.5149394	  -7.6546654	  -0.0053664	   0.0005053	   0.0038931	   0.0000010
  -2.5034250	  -7.5683677	  -0.0053438	   0.0005310	   0.0038735	   0.0000011
  -2.4913431	  -7.4825168	  -0.0053193	   0.0005564	   0.0038529	   0.0000011
  -2.4786981	  -7.3971339	  -0.0052930	   0.0005816	   0.0038314	   0.0000012
  -2.4654945	  -7.3122405	  -0.0052647	   0.0006067	   0.0038089	   0.0000013
  -2.4517371	  -7.2278575	  -0.0052345	   0.0006315	   0.0037854	   0.0000014
  -2.4374308	  -7.1440057	  -0.0052025	   0.0006561	   0.0037611	   0.0000015
  -2.4225808	  -7.0607060	  -0.0051686	   0.0006804	   0.0037358	   0.0000016
  -2.4071922	  -6.9779788	  -0.0051329	   0.0007045	   0.0037095	   0.0000017
  -2.3912708	  -6.8958443	  -0.0050953	   0.0007284	   0.0036824	   0.0000017
  -2.3912708	  -6.8958443	  -0.0050953	   0.0007261	   0.0036731	   0.0000017
