 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0057320	  -0.0001717	  -0.0000816	  -0.0000538	   0.0001976	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0040165	   0.0035571	  -0.0824382
   0.0047969	  -0.0003070	  -0.0005844	  -0.0001354	   0.0006739	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026954	   0.0021795	  -0.0591117
   0.0051421	   0.0000605	  -0.0003645	  -0.0000951	   0.0003816	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026669	   0.0020775	  -0.0609254
   0.0042168	  -0.0001368	  -0.0007102	   0.0000091	   0.0007233	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0011390	   0.0007931	  -0.0331252
   0.0039794	   0.0000282	  -0.0001530	   0.0001176	   0.0001950	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0033541	   0.0022171	  -0.0714499
   0.0070579	   0.0002783	  -0.0000960	  -0.0000381	   0.0002968	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0057916	   0.0054432	  -0.1112691
   0.0066152	  -0.0000543	  -0.0005171	  -0.0000673	   0.0005243	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0045903	   0.0042023	  -0.0945697
   0.0052470	   0.0000437	  -0.0001872	  -0.0000228	   0.0001936	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0031043	   0.0028869	  -0.0642524
   0.0049789	   0.0004527	  -0.0000947	  -0.0001265	   0.0004795	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0029553	   0.0024107	  -0.0641624
   0.0061560	   0.0000765	  -0.0002320	   0.0000167	   0.0002449	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0047023	   0.0046309	  -0.0854636
   0.0039878	  -0.0001218	  -0.0003952	   0.0000194	   0.0004140	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0009556	   0.0006437	  -0.0280447
   0.0071488	  -0.0000544	  -0.0000781	  -0.0000704	   0.0001184	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0038378	   0.0032380	  -0.0897938
   0.0080888	   0.0001593	  -0.0003647	  -0.0001684	   0.0004321	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0018697	   0.0018697	  -0.0676221
   0.0052552	  -0.0000720	  -0.0002993	  -0.0000524	   0.0003123	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0025522	   0.0022128	  -0.0583657
   0.0050854	  -0.0003708	  -0.0006815	  -0.0001796	   0.0007963	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0037399	   0.0032526	  -0.0751341
   0.0052927	   0.0002415	  -0.0003255	  -0.0001578	   0.0004349	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0039244	   0.0033243	  -0.0793679
   0.0046531	   0.0001404	  -0.0005949	  -0.0000822	   0.0006168	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026224	   0.0025543	  -0.0525318
   0.0047727	  -0.0000237	  -0.0002286	  -0.0001758	   0.0002893	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026094	   0.0022779	  -0.0573245
   0.0042670	  -0.0002697	  -0.0005901	   0.0000194	   0.0006491	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0016212	   0.0010088	  -0.0403991
   0.0048277	  -0.0004214	  -0.0005213	  -0.0001056	   0.0006786	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0022898	   0.0020115	  -0.0534184
