#     t [s]            x [km]           y [km]           z [km]           xdot [km/s]      ydot [km/s]      zdot [km/s]
      0.00000000       0.00000000      -15.0000000       0.00000000       0.00000000       0.00000000       0.00000000
      6000.00000       0.00000000      -1.00000000       0.00000000       0.00000000       0.00000000       0.00000000
