         # x	           y	           z	          vx	          vy	          vz
  -1.8551626	 -13.3543764	  -0.2315528	  -0.0012564	   0.0028650	  -0.0001197
  -1.8828734	 -13.2901848	  -0.2341709	  -0.0012375	   0.0029122	  -0.0001159
  -1.9101583	 -13.2249519	  -0.2367050	  -0.0012181	   0.0029587	  -0.0001121
  -1.9101583	 -13.2249519	  -0.2367050	  -0.0012253	   0.0029600	  -0.0001169
  -1.9371671	 -13.1586612	  -0.2392613	  -0.0012054	   0.0030060	  -0.0001131
  -1.9637295	 -13.0913563	  -0.2417318	  -0.0011851	   0.0030513	  -0.0001092
  -1.9898360	 -13.0230543	  -0.2441157	  -0.0011644	   0.0030958	  -0.0001053
  -2.0154773	 -12.9537725	  -0.2464121	  -0.0011432	   0.0031395	  -0.0001014
  -2.0406441	 -12.8835288	  -0.2486201	  -0.0011217	   0.0031823	  -0.0000974
  -2.0653274	 -12.8123414	  -0.2507391	  -0.0010997	   0.0032244	  -0.0000933
  -2.0895184	 -12.7402286	  -0.2527682	  -0.0010774	   0.0032656	  -0.0000893
  -2.1132084	 -12.6672093	  -0.2547067	  -0.0010547	   0.0033060	  -0.0000852
  -2.1363890	 -12.5933027	  -0.2565539	  -0.0010315	   0.0033455	  -0.0000811
  -2.1363890	 -12.5933027	  -0.2565539	  -0.0010366	   0.0033454	  -0.0000871
  -2.1591647	 -12.5185268	  -0.2584445	  -0.0010131	   0.0033842	  -0.0000830
  -2.1814146	 -12.4428984	  -0.2602424	  -0.0009893	   0.0034222	  -0.0000788
  -2.2031306	 -12.3664377	  -0.2619470	  -0.0009651	   0.0034592	  -0.0000746
  -2.2243049	 -12.2891650	  -0.2635578	  -0.0009405	   0.0034952	  -0.0000704
  -2.2449299	 -12.2111008	  -0.2650741	  -0.0009157	   0.0035304	  -0.0000661
  -2.2649982	 -12.1322663	  -0.2664954	  -0.0008904	   0.0035646	  -0.0000618
  -2.2845028	 -12.0526826	  -0.2678212	  -0.0008649	   0.0035978	  -0.0000575
  -2.3034365	 -11.9723711	  -0.2690510	  -0.0008391	   0.0036301	  -0.0000532
  -2.3217925	 -11.8913537	  -0.2701843	  -0.0008129	   0.0036613	  -0.0000488
  -2.3217925	 -11.8913537	  -0.2701843	  -0.0008173	   0.0036590	  -0.0000558
  -2.3396631	 -11.8097026	  -0.2713764	  -0.0007910	   0.0036894	  -0.0000515
  -2.3569450	 -11.7273861	  -0.2724711	  -0.0007643	   0.0037189	  -0.0000471
  -2.3736322	 -11.6444264	  -0.2734682	  -0.0007374	   0.0037473	  -0.0000427
  -2.3897185	 -11.5608462	  -0.2743674	  -0.0007103	   0.0037747	  -0.0000382
  -2.4051982	 -11.4766685	  -0.2751681	  -0.0006829	   0.0038011	  -0.0000338
  -2.4200658	 -11.3919161	  -0.2758703	  -0.0006552	   0.0038264	  -0.0000294
  -2.4343160	 -11.3066125	  -0.2764736	  -0.0006273	   0.0038507	  -0.0000249
  -2.4479437	 -11.2207811	  -0.2769778	  -0.0005992	   0.0038739	  -0.0000205
  -2.4609438	 -11.1344456	  -0.2773827	  -0.0005708	   0.0038961	  -0.0000160
  -2.4609438	 -11.1344456	  -0.2773827	  -0.0005771	   0.0038901	  -0.0000236
  -2.4734550	 -11.0477592	  -0.2778564	  -0.0005488	   0.0039115	  -0.0000191
  -2.4853346	 -10.9606109	  -0.2782305	  -0.0005203	   0.0039317	  -0.0000146
  -2.4965784	 -10.8730249	  -0.2785049	  -0.0004916	   0.0039509	  -0.0000101
  -2.5071823	 -10.7850253	  -0.2786795	  -0.0004627	   0.0039689	  -0.0000056
  -2.5171425	 -10.6966363	  -0.2787542	  -0.0004337	   0.0039859	  -0.0000011
  -2.5264555	 -10.6078825	  -0.2787290	  -0.0004045	   0.0040018	   0.0000034
  -2.5351179	 -10.5187883	  -0.2786039	  -0.0003751	   0.0040165	   0.0000079
  -2.5431266	 -10.4293785	  -0.2783790	  -0.0003456	   0.0040302	   0.0000124
  -2.5504788	 -10.3396779	  -0.2780543	  -0.0003160	   0.0040427	   0.0000169
  -2.5504788	 -10.3396779	  -0.2780543	  -0.0003248	   0.0040321	   0.0000088
  -2.5573711	 -10.2499426	  -0.2778087	  -0.0002955	   0.0040439	   0.0000133
  -2.5636107	 -10.1599587	  -0.2774635	  -0.0002661	   0.0040545	   0.0000178
  -2.5691952	 -10.0697510	  -0.2770189	  -0.0002365	   0.0040640	   0.0000222
  -2.5741228	  -9.9793442	  -0.2764751	  -0.0002069	   0.0040724	   0.0000267
  -2.5783916	  -9.8887633	  -0.2758321	  -0.0001773	   0.0040797	   0.0000312
  -2.5820001	  -9.7980333	  -0.2750903	  -0.0001475	   0.0040858	   0.0000356
  -2.5849471	  -9.7071792	  -0.2742499	  -0.0001177	   0.0040909	   0.0000400
  -2.5872313	  -9.6162261	  -0.2733111	  -0.0000879	   0.0040947	   0.0000444
  -2.5888522	  -9.5251990	  -0.2722745	  -0.0000580	   0.0040975	   0.0000488
  -2.5888522	  -9.5251990	  -0.2722745	  -0.0000659	   0.0040816	   0.0000402
  -2.5899911	  -9.4344728	  -0.2713321	  -0.0000366	   0.0040836	   0.0000446
  -2.5904790	  -9.3437157	  -0.2702924	  -0.0000073	   0.0040844	   0.0000490
  -2.5903156	  -9.2529526	  -0.2691559	   0.0000220	   0.0040841	   0.0000533
  -2.5895010	  -9.1622079	  -0.2679229	   0.0000513	   0.0040827	   0.0000576
  -2.5880355	  -9.0715065	  -0.2665939	   0.0000806	   0.0040802	   0.0000620
  -2.5859196	  -8.9808728	  -0.2651693	   0.0001098	   0.0040766	   0.0000662
  -2.5831541	  -8.8903315	  -0.2636497	   0.0001390	   0.0040719	   0.0000705
  -2.5797400	  -8.7999073	  -0.2620357	   0.0001682	   0.0040661	   0.0000748
  -2.5756785	  -8.7096245	  -0.2603277	   0.0001973	   0.0040592	   0.0000790
  -2.5756785	  -8.7096245	  -0.2603277	   0.0001931	   0.0040375	   0.0000694
  -2.5710744	  -8.6199883	  -0.2587387	   0.0002213	   0.0040296	   0.0000736
  -2.5658443	  -8.5305382	  -0.2570569	   0.0002494	   0.0040207	   0.0000778
  -2.5599901	  -8.4412980	  -0.2552831	   0.0002775	   0.0040107	   0.0000819
  -2.5535138	  -8.3522912	  -0.2534177	   0.0003054	   0.0039997	   0.0000860
  -2.5464177	  -8.2635414	  -0.2514615	   0.0003332	   0.0039876	   0.0000901
  -2.5387045	  -8.1750719	  -0.2494152	   0.0003609	   0.0039745	   0.0000941
  -2.5303768	  -8.0869062	  -0.2472796	   0.0003885	   0.0039603	   0.0000981
  -2.5214376	  -7.9990673	  -0.2450552	   0.0004160	   0.0039450	   0.0001021
  -2.5118902	  -7.9115785	  -0.2427431	   0.0004433	   0.0039288	   0.0001060
  -2.5118902	  -7.9115785	  -0.2427431	   0.0004393	   0.0039025	   0.0000949
  -2.5018368	  -7.8250454	  -0.2405913	   0.0004655	   0.0038853	   0.0000988
  -2.4912044	  -7.7389041	  -0.2383533	   0.0004914	   0.0038672	   0.0001026
  -2.4799967	  -7.6531762	  -0.2360298	   0.0005172	   0.0038481	   0.0001065
  -2.4682177	  -7.5678835	  -0.2336217	   0.0005428	   0.0038281	   0.0001103
  -2.4558717	  -7.4830475	  -0.2311300	   0.0005683	   0.0038070	   0.0001140
  -2.4429631	  -7.3986897	  -0.2285554	   0.0005935	   0.0037850	   0.0001177
  -2.4294965	  -7.3148312	  -0.2258988	   0.0006185	   0.0037621	   0.0001214
  -2.4154767	  -7.2314931	  -0.2231613	   0.0006433	   0.0037382	   0.0001250
  -2.4009088	  -7.1486962	  -0.2203438	   0.0006678	   0.0037134	   0.0001286
  -2.4009088	  -7.1486962	  -0.2203438	   0.0006537	   0.0036871	   0.0001150
  -2.3861216	  -7.0670382	  -0.2177484	   0.0006771	   0.0036619	   0.0001186
  -2.3708189	  -6.9859498	  -0.2150748	   0.0007001	   0.0036359	   0.0001221
  -2.3550061	  -6.9054505	  -0.2123242	   0.0007230	   0.0036089	   0.0001255
  -2.3386890	  -6.8255595	  -0.2094975	   0.0007455	   0.0035811	   0.0001289
  -2.3218733	  -6.7462958	  -0.2065957	   0.0007678	   0.0035525	   0.0001323
