     # training step	         mean reward	          std reward	     mean ep. length
            54912000	            -0.09066	             0.00851	                  30
            55296000	            -0.08297	             0.00758	                  30
            55680000	            -0.08157	             0.01142	                  30
            56064000	            -0.12776	             0.01099	                  30
            56448000	            -0.08976	             0.00782	                  30
            56832000	            -0.10093	             0.00852	                  30
            57216000	            -0.07183	             0.00900	                  30
            57600000	            -0.09009	             0.00854	                  30
            57984000	            -0.07462	             0.00811	                  30
            58368000	            -0.07581	             0.00597	                  30
            58752000	            -0.05882	             0.00878	                  30
            59136000	            -0.08363	             0.00777	                  30
            59520000	            -0.09034	             0.02579	                  30
            59904000	            -0.07285	             0.01052	                  30
            60288000	            -0.07098	             0.01236	                  30
            60672000	            -0.07071	             0.00587	                  30
            61056000	            -0.05931	             0.00932	                  30
            61440000	            -0.06269	             0.00809	                  30
            61824000	            -0.07134	             0.01006	                  30
            62208000	            -0.05339	             0.00787	                  30
            62592000	            -0.06226	             0.00747	                  30
            62976000	            -0.07390	             0.00843	                  30
            63360000	            -0.07048	             0.00776	                  30
            63744000	            -0.11129	             0.00801	                  30
            64128000	            -0.07250	             0.01022	                  30
            64512000	            -0.07000	             0.01035	                  30
            64896000	            -0.06975	             0.01356	                  30
            65280000	            -0.05408	             0.00842	                  30
            65664000	            -0.05082	             0.00860	                  30
            66048000	            -0.06769	             0.01167	                  30
            66432000	            -0.06568	             0.01147	                  30
            66816000	            -0.06268	             0.01431	                  30
            67200000	            -0.07549	             0.01381	                  30
            67584000	            -0.05564	             0.00987	                  30
            67968000	            -0.07384	             0.01031	                  30
            68352000	            -0.06483	             0.00932	                  30
            68736000	            -0.06618	             0.00970	                  30
            69120000	            -0.05461	             0.00955	                  30
            69504000	            -0.06737	             0.01009	                  30
            69888000	            -0.07391	             0.00985	                  30
            70272000	            -0.08310	             0.00892	                  30
            70656000	            -0.04900	             0.00897	                  30
            71040000	            -0.05280	             0.00952	                  30
            71424000	            -0.08306	             0.00934	                  30
            71808000	            -0.06246	             0.00872	                  30
            72192000	            -0.05304	             0.00895	                  30
