 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0061396	  -0.0003626	   0.0002653	  -0.0001863	   0.0004864	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0409307
   0.0051556	  -0.0003833	  -0.0003088	  -0.0001792	   0.0005238	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0343947
   0.0054169	   0.0001285	  -0.0001631	  -0.0000103	   0.0002079	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0361129
   0.0045395	  -0.0001489	  -0.0003261	   0.0002262	   0.0004239	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0302633
   0.0043201	  -0.0005916	   0.0006303	  -0.0000701	   0.0008673	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0291679
   0.0075328	   0.0003126	   0.0002885	   0.0000268	   0.0004262	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0502190
   0.0070255	  -0.0000777	  -0.0001941	  -0.0000682	   0.0002199	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0468367
   0.0057449	   0.0001022	   0.0002088	   0.0002195	   0.0003197	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0382996
   0.0053032	   0.0003376	   0.0003643	  -0.0002461	   0.0005544	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0354093
   0.0067248	  -0.0001017	  -0.0000205	  -0.0007155	   0.0007229	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0450550
   0.0043612	  -0.0001475	   0.0000460	   0.0002149	   0.0002647	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0290748
   0.0078034	   0.0000591	   0.0002517	   0.0001815	   0.0003159	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0520226
   0.0089372	   0.0003854	  -0.0000366	  -0.0003914	   0.0005505	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0596322
   0.0056031	  -0.0000767	  -0.0000895	  -0.0000058	   0.0001181	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0373540
   0.0055492	  -0.0002813	  -0.0005216	  -0.0001166	   0.0006040	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0370984
   0.0057647	   0.0003434	  -0.0001282	  -0.0000548	   0.0003707	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0384314
   0.0049687	  -0.0000113	  -0.0003780	   0.0000317	   0.0003795	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0331244
   0.0051121	  -0.0000695	   0.0000329	  -0.0002444	   0.0002562	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0340807
   0.0046189	  -0.0002484	  -0.0002217	   0.0002068	   0.0003919	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0307929
   0.0050598	  -0.0004233	  -0.0003063	  -0.0000618	   0.0005261	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0337578
   0.0055353	  -0.0003820	   0.0002410	   0.0001661	   0.0004813	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0369022
   0.0059811	  -0.0000356	  -0.0002513	   0.0002095	   0.0003291	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0398742
